source,target,weight,department_source,department_target,q1,q2,q3,q4
Alice,Bob,4,Engineering,Engineering,4,4,5,5
Alice,Carol,3,Engineering,Product,3,4,4,4
Alice,David,2,Engineering,Finance,1,2,2,1
Bob,Alice,5,Engineering,Engineering,5,5,6,6
Bob,Eve,3,Engineering,HR,3,3,3,4
Bob,Frank,4,Engineering,Engineering,4,5,5,5
Carol,Alice,3,Product,Engineering,3,4,4,4
Carol,Grace,4,Product,Product,4,4,5,5
Carol,Henry,2,Product,Marketing,2,2,2,3
Carol,David,1,Product,Finance,0,1,1,1
David,Frank,2,Finance,Engineering,2,3,3,2
David,Iris,3,Finance,Finance,4,4,5,5
David,Karen,4,Finance,Finance,4,5,5,6
Eve,Bob,3,HR,Engineering,3,3,4,4
Eve,Grace,4,HR,Product,4,4,5,4
Eve,Leo,3,HR,HR,4,4,5,5
Frank,Bob,5,Engineering,Engineering,5,5,6,6
Frank,Alice,4,Engineering,Engineering,4,5,5,5
Frank,Maya,3,Engineering,Marketing,3,3,4,3
Grace,Carol,4,Product,Product,4,4,5,5
Grace,Eve,3,Product,HR,3,4,4,4
Grace,Noah,2,Product,Marketing,2,3,3,3
Henry,Carol,1,Marketing,Product,1,1,2,1
Henry,Olivia,2,Marketing,Marketing,3,3,4,4
Iris,David,4,Finance,Finance,4,4,5,5
Iris,Karen,5,Finance,Finance,5,5,6,6
Iris,James,3,Finance,Finance,3,4,4,4
James,Iris,4,Finance,Finance,4,4,5,5
James,David,2,Finance,Finance,2,2,3,2
Karen,Iris,5,Finance,Finance,5,5,6,6
Karen,David,4,Finance,Finance,4,4,5,5
Leo,Eve,4,HR,HR,4,4,5,5
Leo,Maya,2,HR,Marketing,2,2,3,2
Leo,Noah,3,HR,Marketing,3,3,3,4
Maya,Frank,3,Marketing,Engineering,2,3,3,3
Maya,Henry,4,Marketing,Marketing,4,4,5,4
Maya,Noah,4,Marketing,Marketing,4,5,5,5
Noah,Grace,2,Marketing,Product,2,2,3,3
Noah,Leo,4,Marketing,HR,4,4,5,5
Noah,Maya,5,Marketing,Marketing,5,5,6,6
Olivia,Henry,3,Marketing,Marketing,3,3,4,4
